Project,Class,Release,nAuth,ChangeSetSize,LinesOfComment,LOC,maxChangeSetSize,nCommits,nFixCommits,Age,LOCadded,maxLOCadded,Buggy
bookkeeperbookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,2,0,6,118,131,3,0,12,98,94,No
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,0,2,0,4,214,131,4,0,12,88,64,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,0,3,0,85,876,131,13,0,12,701,275,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,0,2,0,1,78,131,2,0,12,40,29,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,2,0,15,161,131,3,0,12,27,12,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,0,2,0,57,398,131,8,0,12,146,64,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,0,2,0,9,182,131,4,0,12,86,76,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,0,2,0,39,484,131,6,0,12,85,42,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,0,2,0,6,129,131,4,0,12,35,15,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,0,2,0,2,152,131,2,0,12,13,12,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0,0,0,19,107,0,0,0,12,0,0,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,0,2,0,9,123,131,4,0,12,143,113,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,0,2,0,4,241,131,3,0,12,31,12,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,0,2,0,36,484,131,8,0,12,630,401,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,0,2,0,49,673,72,5,0,12,217,126,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,0,1,0,9,171,131,3,0,12,8,4,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,0,1,0,1,42,131,1,0,12,3,3,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,0,2,0,4,148,131,4,0,12,23,16,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,0,2,0,5,55,131,2,0,12,5,4,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,0,2,0,9,139,131,7,0,12,43,26,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,0,2,0,7,69,131,3,0,12,12,7,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,0,1,0,8,65,131,2,0,12,50,46,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,0,2,0,36,659,131,11,0,12,915,520,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0,3,0,13,204,131,6,0,12,90,32,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,0,2,0,8,150,131,8,0,12,92,28,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,0,2,0,18,153,131,5,0,12,46,17,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,0,2,0,1,53,131,3,0,12,9,7,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,0,2,0,13,130,131,3,0,12,44,30,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,0,2,0,5,142,131,3,0,12,23,17,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,0,2,0,7,86,131,5,0,12,26,9,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,0,0,0,3,67,0,0,0,12,0,0,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,0,1,0,6,65,131,1,0,12,1,1,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0,1,0,2,71,131,1,0,12,1,1,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,0,1,0,10,91,15,1,0,12,45,45,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,0,2,0,21,190,2,3,0,12,8,6,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,0,2,0,42,331,2,3,0,12,20,11,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,0,1,0,18,221,1,1,0,12,4,4,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,0,0,0,8,170,0,0,0,12,0,0,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,0,0,0,35,454,0,0,0,12,0,0,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,0,0,0,14,167,0,0,0,12,0,0,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,0,0,0,13,130,0,0,0,12,0,0,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,0,0,0,7,85,0,0,0,12,0,0,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,0,2,0,4,156,131,6,0,12,25,9,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,0,2,0,15,136,131,3,0,12,87,71,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,0,3,0,15,346,131,10,0,12,280,111,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,0,2,0,11,110,131,2,0,12,82,75,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,0,3,0,36,448,131,7,0,12,35,8,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,0,3,0,57,461,131,8,0,12,110,24,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0,0,0,3,119,0,0,0,12,0,0,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0,1,0,19,150,131,2,0,12,11,8,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,0,1,0,12,130,131,2,0,12,11,8,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,0,2,0,8,78,131,5,0,12,71,51,No
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,0,3,0,19,191,131,5,0,12,229,101,Yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,0,2,0,2,47,131,2,0,12,5,4,No
