Project,Class,Release,nAuth,ChangeSetSize,LinesOfComment,LOC,maxChangeSetSize,nCommits,nFixCommits,Age,LOCadded,maxLOCadded,Buggy
openjpaopenjpa,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,0,1,0,2,56,928,1,0,18,0,0,No
openjpa,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,0,1,0,8,84,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,0,2,0,17,183,928,3,0,18,4,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,0,2,0,24,223,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,0,2,0,12,128,928,3,0,18,4,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,0,1,0,3,44,928,2,0,18,1,1,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,0,2,0,74,528,928,2,0,18,9,9,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,0,3,0,57,700,928,6,0,18,27,11,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,0,2,0,3,44,928,2,0,18,7,7,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,0,1,0,3,53,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,0,1,0,16,133,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,0,1,0,6,50,928,2,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,0,1,0,11,113,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,0,1,0,13,168,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,0,1,0,24,328,928,2,0,18,36,36,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,0,2,0,13,231,928,3,0,18,14,12,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,0,1,0,2,29,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,0,2,0,9,211,928,3,0,18,11,9,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java,0,1,0,5,38,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java,0,2,0,6,109,928,3,0,18,3,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java,0,2,0,3,52,928,2,0,18,3,3,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java,0,2,0,12,142,928,2,0,18,1,1,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java,0,2,0,23,148,928,3,0,18,10,6,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,0,3,0,11,274,928,6,0,18,143,76,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java,0,1,0,4,42,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java,0,1,0,3,35,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStore.java,0,2,0,12,83,928,3,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,0,3,0,131,1128,928,9,0,18,262,94,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java,0,2,0,57,519,928,5,0,18,90,51,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/LRSSizes.java,0,1,0,5,38,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java,0,2,0,10,386,928,2,0,18,9,9,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,0,2,0,35,301,928,2,0,18,4,4,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java,0,1,0,27,169,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java,0,3,0,38,377,928,3,0,18,11,10,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java,0,1,0,14,148,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java,0,1,0,5,38,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,0,1,0,9,108,928,3,0,18,11,10,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java,0,2,0,4,64,928,2,0,18,5,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java,0,1,0,3,111,928,2,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,0,2,0,12,220,928,3,0,18,3,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,0,2,0,5,136,928,2,0,18,2,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,0,1,0,48,533,928,3,0,18,3,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java,0,1,0,4,36,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,0,1,0,14,174,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java,0,2,0,3,39,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,0,2,0,2,63,928,4,0,18,25,13,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,0,2,0,9,161,928,5,0,18,32,20,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,0,1,0,2,30,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java,0,2,0,3,80,928,3,0,18,13,7,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,0,1,0,2,30,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,0,2,0,3,149,928,3,0,18,25,15,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,0,2,0,3,36,928,2,0,18,1,1,No
