#TestingRelease, Classifier, Precision, Recall, AUC, Kappa
1,Random Forest,0.736842,0.646950,0.337114,0.715840
1,Naive Bayes,0.660320,0.801294,0.269023,0.642710
1,IBK,0.670249,0.730129,0.262113,0.638273
1,Random Forest,0.761807,0.685767,0.397994,0.750179
1,Naive Bayes,0.667165,0.824399,0.295244,0.661368
1,IBK,0.663770,0.752927,0.257533,0.630603
1,Random Forest,0.612751,0.959335,0.179075,0.650299
1,Naive Bayes,0.612751,0.959335,0.179075,0.650299
1,IBK,0.612751,0.959335,0.179075,0.650299
1,Random Forest,0.636724,0.890943,0.238366,0.650843
1,Naive Bayes,0.631511,0.905360,0.227088,0.647448
1,IBK,0.634185,0.856131,0.219705,0.634816
2,Random Forest,0.664606,0.796296,0.279384,0.697402
2,Naive Bayes,0.632802,0.882407,0.226662,0.629394
2,IBK,0.624645,0.679012,0.147491,0.568671
2,Random Forest,0.726908,0.670370,0.337042,0.729713
2,Naive Bayes,0.663134,0.811111,0.282047,0.659675
2,IBK,0.638747,0.616667,0.159804,0.565168
2,Random Forest,0.624227,0.935185,0.215623,0.649574
2,Naive Bayes,0.624227,0.935185,0.215623,0.649574
2,IBK,0.624227,0.935185,0.215623,0.649574
2,Random Forest,0.641709,0.868981,0.248110,0.647943
2,Naive Bayes,0.637940,0.885556,0.242909,0.654435
2,IBK,0.629917,0.775926,0.186528,0.606996
3,Random Forest,0.730496,0.729204,0.380480,0.765253
3,Naive Bayes,0.671398,0.837168,0.317813,0.682436
3,IBK,0.671176,0.761062,0.283498,0.642939
3,Random Forest,0.768707,0.800000,0.491030,0.821769
3,Naive Bayes,0.679012,0.876106,0.354637,0.715137
3,IBK,0.689990,0.837758,0.361442,0.702346
3,Random Forest,0.616898,0.943363,0.199833,0.672118
3,Naive Bayes,0.616898,0.943363,0.199833,0.672118
3,IBK,0.616898,0.943363,0.199833,0.672118
3,Random Forest,0.644969,0.907522,0.276831,0.688926
3,Naive Bayes,0.639259,0.916460,0.263158,0.683448
3,IBK,0.649247,0.890560,0.282630,0.681881
4,Random Forest,0.815113,0.891037,0.650501,0.883967
4,Naive Bayes,0.691503,0.929701,0.439088,0.693456
